species_native,native_status,source,URL
Lampropeltis elapsoides,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis extenuata,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis getula,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis occipitolineata,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes alleni,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes pygaea,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes rigida,Yes,The Reptile Database,http://www.reptile-database.org/
Lithobates capito,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates catesbeianus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates clamitans,Yes,"U.S. Geological Survey, Nonindigenous Aquatic Species Database",https://nas.er.usgs.gov/queries/default.aspx
Lithobates grylio,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates heckscheri,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates okaloosae,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates sphenocephalus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Macrochelys suwanniensis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Macrochelys temminckii,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Malaclemys terrapin,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Masticophis flagellum,Yes,The Reptile Database,http://www.reptile-database.org/
Micrurus fulvius,Yes,The Reptile Database,http://www.reptile-database.org/
Necturus moleri,Yes,AmphiaWeb,https://amphibiaweb.org/
Necturus mounti,Yes,AmphiaWeb,https://amphibiaweb.org/
Nerodia clarkii,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia erythrogaster,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia fasciata,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia floridana,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia sipedon,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia taxispilota,Yes,The Reptile Database,http://www.reptile-database.org/
Notophthalmus perstriatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Notophthalmus viridescens,Yes,"U.S. Geological Survey, Nonindigenous Aquatic Species Database",https://nas.er.usgs.gov/queries/default.aspx
Opheodrys aestivus,Yes,The Reptile Database,http://www.reptile-database.org/
Ophisaurus attenuatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus compressus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus mimicus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus ventralis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pantherophis alleghaniensis,Yes,The Reptile Database,http://www.reptile-database.org/
Pantherophis guttatus,Yes,The Reptile Database,http://www.reptile-database.org/
Pantherophis spiloides,Yes,The Reptile Database,http://www.reptile-database.org/
Pituophis melanoleucus,Yes,The Reptile Database,http://www.reptile-database.org/
Plestiodon anthracinus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon egregius,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon fasciatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon inexpectatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon laticeps,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon reynoldsi,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plethodon grobmani,Yes,AmphiaWeb,https://amphibiaweb.org/
Pseudacris crucifer,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Pseudacris feriarum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudacris nigrita,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Pseudacris ocularis,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Pseudacris ornata,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Pseudemys concinna,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudemys nelsoni,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudemys peninsularis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudobranchus axanthus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudobranchus striatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pseudotriton montanus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Regina septemvittata,Yes,The Reptile Database,http://www.reptile-database.org/
Rhadinaea flavilata,Yes,The Reptile Database,http://www.reptile-database.org/
Rhineura floridana,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Scaphiopus holbrookii,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Sceloporus undulatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Sceloporus woodi,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Scincella lateralis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Siren intermedia,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Siren lacertina,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Siren reticulata,Yes,AmphiaWeb,https://amphibiaweb.org/
Siren sphagnicola,Yes,AmphiaWeb,https://amphibiaweb.org/
Sistrurus miliarius,Yes,The Reptile Database,http://www.reptile-database.org/
Sphaerodactylus notatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Stereochilus marginatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Sternotherus intermedius,Yes,The Reptile Database,http://www.reptile-database.org/
Sternotherus minor,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Sternotherus odoratus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Storeria dekayi,Yes,The Reptile Database,http://www.reptile-database.org/
Storeria occipitomaculata,Yes,The Reptile Database,http://www.reptile-database.org/
Storeria victa,Yes,The Reptile Database,http://www.reptile-database.org/
Tantilla coronata,Yes,The Reptile Database,http://www.reptile-database.org/
Tantilla relicta,Yes,The Reptile Database,http://www.reptile-database.org/
Terrapene carolina,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Thamnophis saurita,Yes,The Reptile Database,http://www.reptile-database.org/
Thamnophis sirtalis,Yes,The Reptile Database,http://www.reptile-database.org/
Virginia valeriae,Yes,The Reptile Database,http://www.reptile-database.org/
