Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
PHYLLODACTYLIDAE,Tarentola annularis (Geoffroy Saint-Hilaire 1827),White-spotted Wall Gecko,1990,1990s,Bartlett 1997,"EVER 302922, 303438–43",Pet Trade,,Y,
PHYLLODACTYLIDAE,Tarentola mauritanica (Linnaeus 1758),Moorish Gecko,1996,1990s,Bartlett & Bartlett 1999; Krysko et al. 2011a,UF 157285,Pet Trade,,Y,
TESTUDINIDAE,Testudo horsfieldii (Gray 1844),Horsfield’s Tortoise,2008,N/A,"Krysko et al. 2010a, 2011a","UF 152758, 159551",2,Pet Trade,Y,
SCINCIDAE,Tiliqua scincoides (White 1790),Eastern Blue-tongued Skink,2007,N/A,Krysko et al. 2011a,UF 152392,2,Pet Trade,N,
EMYDIDAE,Trachemys callirostris (Gray 1855),Colombian Slider,1972,N/A,Bartlett 1967b; Krysko et al. 2011a,"UF 154026, 155125",2,Pet Trade,N,
EMYDIDAE,Trachemys scripta elegans (Wied‐Neuwied 1839),Red-eared Slider,1958,1960s,King & Krakauer 1966,CU 130345,—,Pet Trade,Y,
EMYDIDAE,Trachemys venusta (Gray 1855),Huastecan Slider,2009,N/A,Kail et al. 2010,UF 157304,2,Pet Trade,Y,
SCINCIDAE,Trachylepis perrotetii (Duméril & Bibron 1839),Fire-sided Skink,2008,N/A,"Krysko et al. 2011a, 2012",UF 153513,2,Pet Trade,N,
SCINCIDAE,Trachylepis quinquetaeniata (Lichtenstein 1823),African Five-lined Skink,2010,2000s,Krysko et al. 2010b,UF 157446–50,4b,Pet Trade,Y,
CHAMAELEONIDAE,Trioceros jacksonii (Boulenger 1896),Jackson’s Chameleon,2014,N/A,Bartlett & Bartlett 1995; This Study,UF 174349,Pet Trade,,N,
CHAMAELEONIDAE,Trioceros melleri (Gray 1865),Meller’s Chameleon,2008,N/A,Krysko et al. 2011a,UF 153465,Pet Trade,,N,
TROPIDURIDAE,Tropidurus hispidus (Spix 1825),Peters’s Lava Lizard,2003,N/A,Enge et al. 2004; Krysko et al. 2011a,UF 137411–13,Pet Trade,,Y,
TEIIDAE,Tupinambis teguixin (Linnaeus 1758),Gold Tegu,1990,2000s,Anonymous 1990; Krysko et al. 2011a,UF 153696,3,Pet Trade,Y,
TYPHLOPIDAE,Typhlops lumbricalis (Linnaeus 1758),Earthworm Snake,1930,N/A,Myers 1958,UF 89952,Cargo,Cargo,N,
TROPIDURIDAE,Uranoscodon superciliosus (Linnaeus 1758),Mop-headed Iguana,2004,N/A,"Krysko et al. 2010a, 2011a",UF 145734,Pet Trade,,N,
AGAMIDAE,Uromastyx dispar maliensis Joger & Lambert 1996,Southern Saharan Spiny-tailed Lizard,2009,N/A,Krysko et al. 2011a,UF 159616,Pet Trade,,N,
VARANIDAE,Varanus albigularis albigularis (Daudin 1802),Southern White-throated Monitor,2008,N/A,"Krysko et al. 2011a, 2012",UF 153409,2,Pet Trade,Y,
VARANIDAE,Varanus doreanus (Meyer 1874),Blue-tailed Monitor,2010,N/A,"Krysko et al. 2011a, 2012",UF 160345,2,Pet Trade,Y,
VARANIDAE,Varanus exanthematicus (Bosc 1792),Savannah Monitor,1992,N/A,Prusak 1992,UF 135537,2,Pet Trade,Y,
VARANIDAE,Varanus jobiensis (Ahl 1932),Peach-throated Monitor,2008,N/A,Krysko et al. 2011a,UF 154404,2,Pet Trade,Y,
VARANIDAE,Varanus niloticus (Linnaeus 1766) sensu lato,Nile Monitor,1981,1990s,Dalrymple 1994; Campbell 2003; This Study,UF 165874,5,Pet Trade,Y,
VARANIDAE,Varanus panoptes (Storr 1980),Yellow-spotted Monitor,2015,N/A,This Study,UF 175626,2,Pet Trade,Y,
VARANIDAE,Varanus salvadorii (Peters & Doria 1878),Crocodile Monitor,2009,N/A,Krysko et al. 2011a,UF 159511,2,Pet Trade,Y,
VARANIDAE,Varanus salvator (Laurenti 1768),Water Monitor,1978,N/A,Beltz 1992; Krysko et al. 2011a,UF 6546,12,Pet Trade,Y,
PIPIDAE,Xenopus laevis (Daudin 1802),African Clawed Frog,1970s?,1970s?,King & Krakauer 1966; Krysko et al. 2011a; This Study,"UF 158477, 172054–55, 173050",3,Pet Trade,Y,
GERRHOSAURIDAE,Zonosaurus laticaudatus (Grandidier 1869),Western Girdled Lizard,2012,N/A,This Study,UF 174445,2,Pet Trade,N,
