Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
COLUBRIDAE,Lampropeltis californiae (Blainville 1835),California Kingsnake,1992,N/A,Bartlett & Bartlett 2003; Krysko et al. 2011a,UF 135053,2,Pet Trade,N,
COLUBRIDAE,Lampropeltis gentilis (Baird and Girard 1853),Western Milksnake,2015,N/A,This Study,UF 177327,2,Pet Trade,N,
COLUBRIDAE,Lampropeltis polyzona Cope 1861,Atlantic Central American Milksnake,2009,N/A,Krysko et al. 2011a,UF 155625,2,Pet Trade,N,
LAMPROPHIIDAE (or PSEUDOXYRHOPHIIDAE),Langaha madagascariensis Bonnaterre 1790,Madagascar Leaf-nosed Snake,2015,N/A,This Study,UF 175756,2,Pet Trade,Y,
LEIOCEPHALIDAE,Leiocephalus carinatus,Northern Curly-tailed Lizard,1940s,1940s,Weigl et al. 1969,—,Biological Control,,Y,
LEIOCEPHALIDAE,Leiocephalus personatus Cope 1862,Haitian Curly-tailed Lizard,2004,N/A,"Bartlett 1994; Krysko et al. 2010a, 2011a",UF 145733,Pet Trade,,N,
LEIOCEPHALIDAE,Leiocephalus schreibersii (Gravenhorst 1837),Red-sided Curly-tailed Lizard,1978,1970s,Wilson & Porras 1983,UF 121397–99,Pet Trade,,Y,
AGAMIDAE,Leiolepis belliana (Gray 1827),Beautiful Butterfly Lizard,1992,1990s,Krysko & Enge 2005,UF 141589–91,Pet Trade,,Y,
AGAMIDAE,Leiolepis rubritaeniata Mertens 1961,Red-banded Butterfly Lizard,2010s,2010s,Krysko et al. 2013,"UF 167804, 167182, 171120",Pet Trade,,Y,
PYTHONIDAE,Leiopython fredparkeri Schleip 2008,Parker’s Python,2006,N/A,Krysko et al. 2011a,UF 159916,2,Pet Trade,N,
GEKKONIDAE,"Lepidodactylus lugubris (Duméril & Bibron 1836), Clone C",Mourning Gecko,2005,2000s,Meshaka et al. 2004; Krysko et al. 2011a,UF 151603,Pet Trade,,Y,
HYLIDAE,Litoria caerulea (White 1790),Great Green Treefrog,2003,N/A,Bartlett 1994; Krysko et al. 2011a,UF 146573,2,Pet Trade,N,
GEKKONIDAE,Lygodactylus luteopicturatus Pasteur 1964,Yellow-headed Dwarf Gecko,2011,N/A,This Study,UF 166455,Pet Trade,,N,
GEKKONIDAE,Lygodactylus williamsi Loveridge 1952,Turquoise Dwarf Gecko,2009,N/A,Krysko et al. 2011a,UF 161359,Pet Trade,,N,
CHELYDRIDAE,Macrochelys suwanniensis Thomas et al. 2014,Suwannee Alligator Snapping Turtle,1916,N/A,Thomas et al. 2014,AMNH 82872,—,Pet Trade,N,
PYTHONIDAE,Malayopython reticulatus (Schneider 1801),Reticulated Python,1989,N/A,Neil & Smith Dampier 1989; Krysko et al. 2011a,UF 163091,2,Pet Trade,N,
TESTUDINIDAE,Manouria emys emys (Schlegel & Müller 1840),Asian Brown Giant Tortoise,2011,N/A,This Study,UF 166451,2,Pet Trade,Y,
GEOEMYDIDAE,Mauremys sinensis (Gray 1834),Chinese Stripe-necked Turtle,1972,N/A,Jackson 2012,UF 166135,2,Pet Trade,Y,
CROCODYLIDAE,Mecistops cataphractus (Cuvier 1825),West African Slender-snouted Crocodile,1983,N/A,Anonymous 1983; Krysko et al. 2011a,UF 163093,2,Zoo,N,
PYTHONIDAE,Morelia spilota (Lacepède 1804),Carpet Python,2009,N/A,Krysko et al. 2011a,UF 157128,2,Pet Trade,Y,
