Genus,Species,Common Name,FL Native
Plethodon,glutinosus,Slimy Salamander,Yes
Pseudobranchus,axanthus axanthus,Narrow-striped Dwarf Siren,Yes
Pseudobranchus,axanthus belli,Everglades Dwarf Siren,Yes
Pseudobranchus,striatus lustricolus,Gulf Hammock Dwarf Siren,Yes
Pseudobranchus,striatus spheniscus,Slender Dwarf Siren,Yes
Pseudobranchus,striatus striatus,Broad-striped Dwarf Siren,Yes
Pseudotriton,montanus flavissimus,Gulf Coast Mud Salamander,Yes
Pseudotriton,montanus floridanus,Rusty Mud Salamander,Yes
Pseudotriton,ruber vioscai,Southern Red Salamander,Yes
Siren,intermedia complex,Eastern Lesser Siren,Yes
Siren,lacertina complex,Greater Siren,Yes
Stereochilus,marginatus,Many-lined Salamander,Yes
Apalone,ferox,Florida Softshell,Yes
Apalone,mutica calvata,Gulf Coast Smooth Softshell,Yes
Apalone,spinifera,Spiny Softshell,Yes
Apalone,spinifera aspera,Gulf Coast Spiny Softshell,Yes
Caretta,caretta,Loggerhead Sea Turtle,Yes
Chelonia,mydas,Green Sea Turtle,Yes
Chelydra,serpentina osceola,Florida Snapping Turtle,Yes
Chelydra,serpentina serpentina,Common Snapping Turtle,Yes
Chrysemys,dorsalis,Southern Painted Turtle,Yes
Clemmys,guttata,Spotted Turtle,Yes
Deirochelys,reticularia chrysea,Florida Chicken Turtle,Yes
Deirochelys,reticularia reticularia,Eastern Chicken Turtle,Yes
Dermochelys,coriacea,Leatherback Sea Turtle,Yes
Eretmochelys,imbricata,Atlantic Hawksbill Sea Turtle,Yes
Gopherus,polyphemus,Gopher Tortoise,Yes
Graptemys,barbouri,Barbour's Map Turtle,Yes
Graptemys,ernsti,Escambia Map Turtle,Yes
Graptemys,pseudogeographica,False Map Turtle,Yes
Kinosternon,baurii,Striped Mud Turtle,Yes
Kinosternon,subrubrum steindachneri,Florida Mud Turtle,Yes
Kinosternon,subrubrum subrubrum,Eastern Mud Turtle,Yes
Lepidochelys,kempii,Kemp's Ridley Sea Turtle,Yes
Macrochelys,suwanniensis,Suwannee Alligator Snapping Turtle,Yes
Macrochelys,temminckii,Alligator Snapping Turtle,Yes
Macrochelys,apalachicolae,Apalachicola Alligator Snapping Turtle,Yes
Malaclemys,terrapin centrata,Carolina Diamondback Terrapin,Yes
Malaclemys,terrapin macrospilota,Ornate Diamondback Terrapin,Yes
Malaclemys,terrapin rhizophorarum,Mangrove Diamondback Terrapin,Yes
Malaclemys,terrapin tequesta,Eastern Florida Diamondback Terrapin,Yes
Pseudemys,nelsoni,Florida Redbelly Cooter,Yes
Pseudemys,suwanniensis,Suwannee Cooter,Yes
Pseudemys,concinna,River Cooter,Yes
Pseudemys,peninsularis,Peninsula Cooter,Yes
Staurotypus,salvinii,Pacific Coast Giant Musk Turtle,No
Sternotherus,minor minor,Loggerhead Musk Turtle,Yes
Sternotherus,minor peltifer,Stripeneck Musk Turtle,Yes
Sternotherus,odoratus,Eastern Musk Turtle,Yes
Terrapene,carolina bauri,Florida Box Turtle,Yes
Terrapene,carolina carolina,Eastern Box Turtle,Yes
Terrapene,carolina major,Gulf Coast Box Turtle,Yes
Terrapene,carolina triunguis,Three-toed Box Turtle,Yes
Trachemys,scripta elegans,Red-eared Slider,No
Trachemys,scripta scripta,Yellowbelly Slider,Yes
